,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
278,0.002718949317932129,0.00021313275357682477,0.0018901824951171875,7.873417563262595e-05,6,1,poly,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9933333333333334,0.019999999999999997,1
276,0.002778935432434082,0.0002025203546777453,0.002061915397644043,0.000194881720439286,6,1,poly,1000,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9933333333333334,0.019999999999999997,1
277,0.0027216434478759765,0.00017212428488340146,0.0019825220108032225,0.00020434878668296197,6,1,poly,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9933333333333334,0.019999999999999997,1
168,0.0029284000396728516,0.000492589704235878,0.0020464420318603515,0.0003579305353506661,4,1,poly,1000,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9866666666666667,0.026666666666666658,4
169,0.0028154850006103516,0.00038725185691500805,0.001971149444580078,0.0003199252589668991,4,1,poly,2000,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9866666666666667,0.026666666666666658,4
170,0.003439807891845703,0.0009730976903655001,0.0023563146591186524,0.0005391694494440303,4,1,poly,3000,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9866666666666667,0.026666666666666658,4
115,0.0021372318267822267,0.0004371310703265747,0.0014075756072998047,0.0001961167177025652,3,1,poly,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
116,0.002125859260559082,0.00034892834368089725,0.0015990257263183594,0.00027916390193935146,3,1,poly,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
241,0.004712367057800293,0.00108378894368292,0.0037238359451293944,0.0007998304188743934,5,3,poly,2000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
240,0.004599666595458985,0.0010781465994588264,0.0035373687744140623,0.0010322517660878942,5,3,poly,1000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
239,0.0045690774917602536,0.0007541198685972103,0.0032028436660766603,0.0009150273667138524,5,3,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
120,0.00213470458984375,0.00036652652297793054,0.0015283584594726562,0.0002245289471722412,3,2,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
306,0.0037186861038208006,0.0012262083829473504,0.0029405593872070313,0.001028452820204937,6,5,linear,1000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
123,0.002155160903930664,0.00039065178042678146,0.0014928817749023438,0.0002451561736514931,3,2,poly,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
124,0.002025198936462402,0.00022892050242647144,0.0015154123306274415,0.00021463511122879226,3,2,poly,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
